Name;Address;Phone number
Kosmetik IL CAROSELLO;Auhofstraße 150/4, 1130 Wien;+43 1 8764820
Kosmetik Irene;Landstraßer Hauptstraße 64/1/8, 1030 Wien;+43 1 7109781
Kosmetik Koos;Mühlhäufelweg 74, 1220 Wien;+43 699 10518719
Kosmetik Liane - Schennach & Schennach OG;Krummbaumgasse 6, 1020 Wien;+43 1 2147764
Kosmetik Magda;Wilhelm-Exner-Gasse 25, 1090 Wien;+43 1 3152465
Kosmetik Monica;Hütteldorfer Straße 195, 1140 Wien;+43 1 9119593
Kosmetik Nofretete;Favoritenstraße 84, 1100 Wien;+43 1 6416048
Kosmetik Salon Antonia;Walfischgasse 14/Tür 5, 1010 Wien;+43 660 7771512
Kosmetik Silvia Gwiss;Kleine Pfarrgasse 7/7, 1020 Wien;+43 699 10597634
Kosmetik Silvia Kugler;Weingartenallee 24/1B/27, 1220 Wien;+43 1 2559735
Kosmetik Sonja;Simmeringer Hauptstraße 45, 1110 Wien;+43 650 5989897
Kosmetik Soraya;Wagramer Straße 55, 1220 Wien;+43 680 5557178
Kosmetik Stani;Heigerleinstraße 48, 1160 Wien;+43 699 11008992
Kosmetik u Fußpflege Susanne Felbermayer;Herbeckstraße 62, 1180 Wien;+43 1 4705333
Kosmetik Vera - Beauty Spa;Zedlitzgasse 3, 1010 Wien;+43 650 4065050
Kosmetikinstitut Bio-Beauty;Tivoligasse 4-6 Top 1, 1120 Wien;+43 1 8159040
Kosmetikinstitut Sana GesmbH;Kellermanngasse 5, 1070 Wien;+43 1 5234482
Kosmetikpalette Natalie Steigner;Ketzergasse 376-382, 1230 Wien;+43 1 8891803
Kosmetiksalon Gabriele Med;Bastiengasse 77/Eingang Scheibenbergstr 22, 1180 Wien;+43 1 4079705
Kosmetiksalon Tina Inh DiplKosm Tina Hoffmann;Marchfeldstraße 5, 1200 Wien;+43 1 3303381
Kosmetikstudio Aphrodite e.U.;Seilerstätte 12/1, 1010 Wien;+43 1 5951523
Kosmetikstudio Gesundheitszentrum Ottakring;Ottakringer Straße 151, 1160 Wien;+43 650 4877351
Kosmetikstudio Julia Moser;Rochusgasse 6, 1030 Wien;+43 1 7125197
Kosmetikstudio Silvia;Rudolf-Waisenhorn-Gasse 35 Top 15, 1230 Wien;+43 664 1205424
Kosmetikstudio Silvia;Erbpostgasse 7, 1210 Wien;+43 664 1205424
Kosmetikstudio STRAHLENDSCHÖN e.U.;Singerstraße 4, 1010 Wien;+43 1 9131344
Kosmetikstudio VitalPLUS;Rosmaringasse 65/2a, 1220 Wien;+43 1 9471805
Krunes Kornelija;Katharinengasse 4, 1100 Wien;
KS Makeup e.U.;Ernst-Bergmann-Gasse 8, 1140 Wien;
Kultiviert - Corradi GmbH;Renngasse 13, 1010 Wien;+43 1 5331992
La Belle Bie Ivanka Kraeva;Obere Bahngasse 14/4, 1030 Wien;+43 681 83434932
LA BELLEZZA Kosmetik Martina Kantner;Franklinstraße 22  (Im Hallenbad Floridsdorf), 1210 Wien;+43 1 2707632
La Fleur Beauty e.U.;Langobardenstraße 128/1/R1, 1220 Wien;
La Vera Bellezza;Döblinger Hauptstraße 48, 1190 Wien;+43 664 73689797
Lady Line Kosmetikstudio;Klosterneuburger Straße 41 Ecke Othmargasse, 1200 Wien;+43 1 3300690
Lang Helene;Nordbahnstraße 44/2/24, 1020 Wien;
Langegger Christa - Haut- u Haaranalysen;Alser Straße 17-19, 1080 Wien;+43 699 19374111
Lascsak Zuzana;Andreas-Huger-Gasse 6/1/37, 1220 Wien;+43 1 3973688
Lash Artists Academy - LAA e.U.;Stadiongasse 4, 1010 Wien;+43 676 3480907
Lex of Makeup;Martinstraße 76, 1180 Wien;+43 660 3890452
LEX OF MAKEUP e.U.;Schulgasse 55/1/1, 1180 Wien;
Lipo Line e.U.;Meidlinger Hauptstraße 42-44, 1120 Wien;+43 660 7222894
Living Essentials;Franziskanerplatz 6, 1010 Wien;+43 1 5125419
Lotos Kosmetik Institut e.U.;Wiedner Hauptstraße 112, 1050 Wien;
Luce Esthetics VIE GmbH;Wehrgasse 28/2, 1050 Wien;+43 1 9550955
Lyssenko Anna;Elidagasse 19, 1220 Wien;
M.E.D. ATELIER DORNBACH KG;Dornbacher Straße 125/1, 1170 Wien;+43 1 4800934
Magic Eyes;Karolinengasse 22, 1040 Wien;+43 664 1250925
MAKE UP FOR EVER e.U.;Helferstorferstraße 4, 1010 Wien;+43 1 5230563
Make you up;Ottakringer Straße 242/1, 1160 Wien;+43 676 4003654
makeitup Manuela Larisch;Braheplatz 12 / Gruppe 3/Haus 192, 1100 Wien;+43 699 10600044
Makeup Pro;Lerchenfelder Straße 11, 1070 Wien;+43 1 5227783
MakeUpLove e.U.;Kandlgasse 38/12, 1070 Wien;
Martell Parfümerie;Neubaugasse 19, 1070 Wien;+43 1 5261500
Martina Pöltner MARTINYKO Kosmetik;Ziehrerplatz 2, 1030 Wien;+43 676 3554577
Mazur Sabina;Ilse-Arlt-Straße 37/6, 1220 Wien;
Medkosmetik Wien – Inh. Martina Kraft;Obere Donaustraße 45/Eg, 1020 Wien;+43 699 19583824
Merinsky Denise;Paradisgasse 30/3/4, 1190 Wien;
Michi's Naturkosmetik;Untere Augartenstraße 7, 1020 Wien;+43 1 3334618
MIKI & LALA'S e.U.;Donaufelder Straße 177/2/31, 1220 Wien;+43 660 1159779
Mimoro e.U.;Hertha-Firnberg-Straße 10/2/607, 1100 Wien;
Minev KG;Leopold-Ernst-Gasse 6-8, 1180 Wien;+43 676 5213891
MM Institut für Cosmetic;Steinheilgasse 56, 1210 Wien;+43 650 4877351
Monika Duben Reviderm Kosmetikinstitut;Sieveringer Straße 18/12, 1190 Wien;+43 1 3289033
Motamedi Adriana;Römergasse 33/12, 1160 Wien;
Müller & Jell OG;Gablenzgasse 41/10/1, 1150 Wien;
MUSTHAVE e.U.;Kloepferstraße 53, 1220 Wien;
My Nails KG;Landstraßer Hauptstraße 129/2/1, 1030 Wien;
MY STYLE Kosmetikstudio im Fitnesscenter Holmes Place;Hütteldorfer Straße 130a, 1140 Wien;+43 676 9448668
myhairfree Institut Wien 6;Mariahilfer Straße 123/1, 1060 Wien;+43 1 9971597
Mystic of Beauty Gordana Radulovic;Längenfeldgasse 28/8/L3, 1120 Wien;+43 1 9662900
Nails in the City;Riemergasse 11/6, 1010 Wien;+43 650 2618835
Narona pure care e.U.;Sieveringer Straße 105, 1190 Wien;+43 650 7155240
Naturkosmetik Josefstadt;Josefstädter Straße 52, 1080 Wien;+43 699 11835941
Nguyen Nageldesign e.U.;Neubaugasse 73, 1070 Wien;
NHN GmbH;Walfischgasse 9/L16+L17, 1010 Wien;
Omowuwe Maria BA;Antonigasse 59, 1170 Wien;
Onglerie KG;Stadiongasse 4, 1010 Wien;+43 1 8905181
Opitz Tamásné;Lederergasse 14A/2-3, 1080 Wien;
P&A True Beauty OG;Franz-Haas-Platz 2/6, 1110 Wien;+43 1 9972886
Panfili Olga;Daringergasse 12-20/22/25, 1190 Wien;
Perfect - Body Institut;Zachgasse 1, 1220 Wien;+43 1 2858177
Perfect Beauty Petra Pröller;Doningasse 12/2/1. Stock, 1220 Wien;+43 664 75005254
Perfect Skin Cosmetic;Weingartenallee 6/86, 1220 Wien;+43 676 88889700
Peters Kosmetik individuell;Schrekergasse 1, 1160 Wien;+43 1 9142171
PhiBrows e.U.;Gartengasse 8, 1050 Wien;+43 660 4372555
Pichler Beata;Hainburger Straße 47, 1030 Wien;+43 1 7188557
Pichowetz Ilse;Prager Straße 21, 1210 Wien;+43 1 2787254
Pöchl Florentina;Papiergasse 11, 1230 Wien;+43 1 6650265
Polak Ines;Mariahilfer Straße 19-21/26, 1060 Wien;
Popkira Business GmbH;Jurekgasse 23/27, 1150 Wien;
Proskurina Liliia;Langobardenstraße 45/30, 1220 Wien;
Puecker Jacqueline;Franz-Mika-Weg 5/2, Tür 1, 1100 Wien;
pureface GmbH;Laxenburger Straße 218, 1230 Wien;
Queenly realestate GmbH;Kärntner Straße 61/18, 1010 Wien;
Raum li-Belle - Andrea Kaufmann-Lueger;Prager Straße 175/3, 1210 Wien;+43 680 4023282
Reimond Marina - Permanent Make Up & Beauty;Rögergasse 6/3/R01 U4 Roßauer Lände, 1090 Wien;+43 676 6021561
Renner Helga;Cothmannstraße 5-7, 1120 Wien;+43 1 5264858
Reutt Viktoryia;Barichgasse 5A/1, 1030 Wien;
Riemer Monika;Habsburgergasse 3/10, 1010 Wien;+43 1 5338049
Ruoff-Herrera Thomas - int. Make - up Artist;Lerchenfelder Straße 11, 1070 Wien;+43 676 9507365
S.H.E.R.R.Y. Beauty e.U.;Columbusgasse 69/5-6, 1100 Wien;
Salon Renata;Thimiggasse 7, 1180 Wien;+43 1 4708618
Salon Theresa Inh. Theresa Dürnwöber-Koci;Treustraße 26, 1200 Wien;+43 1 3307493
Saphir Beauty Salon;Rauscherstraße 10, 1200 Wien;+43 699 13511460
Schönheitsatelier Nadine Shamandi;Simmeringer Hauptstraße 201, 1110 Wien;+43 1 7682923
Schönheitscenter Steffi Steinfellner;Breitenfurter Straße 17, 1120 Wien;+43 1 8122692
Schönheitsoase Viktora;Hütteldorfer Straße 289, 1140 Wien;+43 1 9111781
Schönheitspflege BeautyEngel e.U.;Erlaaer Straße 70/5/13, 1230 Wien;
Schönheitssalon Anna;Klosterneuburger Straße 57, 1200 Wien;+43 1 3302453
Schönheitssalon Mitra;Kalvarienberggasse 46/1-9, 1170 Wien;+43 660 1611894
Schroedl Nicole;Kundratstraße 6, Tür 1614, 1100 Wien;+43 681 20431785
Schröer Christian;Schönbrunner Straße 42/6, 1050 Wien;+43 676 7393117
Seiser Raina;Faistauergasse 117, 1130 Wien;
Senzera - Waxing Studio Wien-Josefstadt;Alser Straße 43, 1080 Wien;+43 1 4063040
Senzera GmbH Kosmetik;Landstraßer Hauptstraße 104, 1030 Wien;+43 1 7106251
Sert & Gencigör OG;Breitenfurter Straße 15/3, 1120 Wien;+43 1 8102988
Shannon Cosmetics;Krugerstraße 12, 1010 Wien;+43 1 5123431
Shape-Line Studio;Quellenstraße 126, 1100 Wien;+43 1 6064631
SiBelle Beauty Salon;Parhamerplatz 15, 1170 Wien;+43 676 9401416
Silhouette Kosmetik- u HandelsgmbH;Mayerhofgasse 1/10, 1040 Wien;+43 1 5054132
SISSY COSMETICS;Johannesgasse 28, 1030 Wien;+43 681 10304057
Skrobar Martina - die Kosmetikerin e.U.;Thaliastraße 151/2/1, 1160 Wien;+43 664 5208185
smartskin Body & Beauty;Nußdorfer Straße 26-28/9, 1090 Wien;+43 1 9581394
Stellas Beauty Atelier - Ihre Figur & Kosmetikinstitut;Sechsschimmelgasse 13, 1090 Wien;+43 1 3174242
Stetsenko Kamila;Mollardgasse 49/3, 1060 Wien;
Stojanovski Ajla;Mariahilfer Straße 131, Tür 11, 1150 Wien;
Stojicic Andjela;Meidlinger Hauptstraße 43, 1120 Wien;
Straková Júlia;Trillergasse 2B/52, 1210 Wien;
Studio Aydan;Porzellangasse 60, 1090 Wien;+43 660 3291144
Studio Estetica - Elisabeth Futschik KG;Krottenbachstraße 114, 1190 Wien;+43 1 3205661
Studio Sensus Inh Eva Ruhrhofer;Eßlinggasse 9/11, 1010 Wien;+43 1 5336926
Studio Welcome;Linzer Straße 403, 1140 Wien;+43 1 9143583
Sugarbaby Vienna e.U.;Putzendoplergasse 2/4/14, 1230 Wien;+43 676 5979858
Susiś Nagelstudio e.U.;Rögergasse 6/3/1, 1090 Wien;
Sweet Treat Sugaring;Rotgasse 6, 1010 Wien;+43 664 1548028
Tax Jennifer;Seyringer Straße 1/2/301, 1210 Wien;
TEMPTU&EVAGARDEN - Showroom;Kärntner Ring 14/DG1/Top 13, 1010 Wien;+43 1 503247611
TEN Beauty;Simmeringer Hauptstraße 127, 1110 Wien;+43 699 17120570
The EYE effect - Wimpernverlängerung;Anton-Baumgartner-Straße 44/Top 24a, 1230 Wien;+43 664 2820020
Tiefenbacher Ruzica OG;Drachengasse 3/9, 1010 Wien;
TOLL(E) KIRSCHE - Das Schminkfrüchtchen;Bellegardegasse 4/Tür 2, 1220 Wien;+43 699 19730833
Trend Kosmetik Reif & Forjan GesmbH;Fleischmarkt 18/5/38, 1010 Wien;+43 1 5322390
Tubic David Schönheitsinstitut Nord e.U.;Prager Straße 93-99, 1210 Wien;+43 1 2700958
URANIA BEAUTY;Wiesingerstraße 1, 1010 Wien;+43 1 5127625
Van Gils Hautpflege;Kochgasse 34, 1080 Wien;+43 676 6335159
Velvet Kosmetik;Jagdgasse 27, 1100 Wien;+43 699 10105800
Vicky Lash - Makeup Artist;Ettenreichgasse 13, 1100 Wien;+43 676 3314003
VISAGISTIN AZER e.U.;Porzellangasse 48/2/14, 1090 Wien;
Walter Vock GesmbH;Reinprechtsdorfer Straße 52, 1050 Wien;+43 1 5442341
Warpaint e.U.;Pohlgasse 13/7/4, 1120 Wien;
Waxx'n go;Parhamerplatz 15, 1170 Wien;+43 1 4811481
Wellness - Ehrenreich Jutta;Nikolsdorfer Gasse 41, 1050 Wien;+43 1 5867270
Welsburg Viola;Anton-Baumgartner-Straße 44 Kaufpark Alt Erlaa Top 38, 1230 Wien;+43 1 6676557
Yasumi Kosmetikstudio;Krakauer Straße 14/Top 204, 1020 Wien;+43 699 18365676
Elsana Cosmetic;Auhofstraße 148, 1130 Wien;+43 1 8774880
Microblading Adrianna Lushezy;Schulgasse 5, 1180 Wien;+43 699 18883377
Madame Beauty Salon of Margot;Quellenstraße 96, 1100 Wien;+43 1 6024168
Else Kosmetik Massage Fusspflege;Sieveringer Straße 13, 1190 Wien;+43 1 3209886
Horvath Olga;Heinestraße 17, 1020 Wien;+43 1 2145578
